relay,slot,block_hash,builder_pubkey,value,gas_used,gas_limit,block_number
manifold,4892531,0x1c6447d8fd40252aa4cefa4de858f97c010cbf380afb32a7b03722e2eb4b99d3,0xa25f5d5bd4f1956971bbd6e5a19e59c9b1422ca253587bbbb644645bd2067cc08fb854a231061f8c91f110254664e943,35251568597539930,22697327,30000000,15728438
manifold,4892427,0xf80bcd1719bf9b1e7494458cb7adc8d5153d50e68a87f31f88c06726decb22d5,0x8eb772d96a747ba63af7acdf92dc775a859f76a77e4c6ed124dca6360e74e4e798a75a925eb8fd0dde866317fff18ad0,50513137409103874,18433555,30000000,15728335
manifold,4892398,0x7db1ac9baab4c0575ec5b17aa96a2bf46ea7500977009c3749df7a260608bbd1,0xa25f5d5bd4f1956971bbd6e5a19e59c9b1422ca253587bbbb644645bd2067cc08fb854a231061f8c91f110254664e943,89231395496311516,20532648,30000000,15728306
manifold,4892374,0x308d352695dfb3609070e159ef1f2d263289f41df0b0c6d717e5113f30506f60,0xa25f5d5bd4f1956971bbd6e5a19e59c9b1422ca253587bbbb644645bd2067cc08fb854a231061f8c91f110254664e943,71508461515498569,29994926,30000000,15728282
manifold,4892313,0xcada8e99d643f9fb4bc17907f7090679eedc8845c9a2f5c861975f4ddfa3e86e,0xa25f5d5bd4f1956971bbd6e5a19e59c9b1422ca253587bbbb644645bd2067cc08fb854a231061f8c91f110254664e943,24165964700773658,11176581,30000000,15728222
manifold,4892236,0x6b37f8c8762140bb41dc7a6314e9bf4dee4cbca416e2d3db66bc0d6d8a196b1d,0xa25f5d5bd4f1956971bbd6e5a19e59c9b1422ca253587bbbb644645bd2067cc08fb854a231061f8c91f110254664e943,56850439035330884,19864311,30000000,15728146
manifold,4892114,0x4d538ba3d197e9bc89d60fa5f1cf693318f8fb52f43fbb87c5c5722f2cdb5ad6,0xa25f5d5bd4f1956971bbd6e5a19e59c9b1422ca253587bbbb644645bd2067cc08fb854a231061f8c91f110254664e943,76475028965192790,22819648,30000000,15728024
manifold,4892112,0x56463ee842dcc812b968fc672ba4a53450c9ae6e2948c705f5b731a7c7930a96,0xa25f5d5bd4f1956971bbd6e5a19e59c9b1422ca253587bbbb644645bd2067cc08fb854a231061f8c91f110254664e943,43401570702038185,14391558,30000000,15728022
manifold,4892061,0xa6ae159fbf2db0a7277134df918f8dba678325a202fbcde032a0655801f4c79b,0x8eb772d96a747ba63af7acdf92dc775a859f76a77e4c6ed124dca6360e74e4e798a75a925eb8fd0dde866317fff18ad0,25929452444984077,11179114,30000000,15727971
manifold,4892052,0x1e94f0b10bf273829b96c40083f4499bcd59c5a7f5e5d57eaf18d85797a91fae,0x8eb772d96a747ba63af7acdf92dc775a859f76a77e4c6ed124dca6360e74e4e798a75a925eb8fd0dde866317fff18ad0,32432079040605283,9354360,30000000,15727962
manifold,4891997,0x282b9f71d9f87dd798adb1193cba094e97bbd28025abbd517dd2db703ba85969,0xa25f5d5bd4f1956971bbd6e5a19e59c9b1422ca253587bbbb644645bd2067cc08fb854a231061f8c91f110254664e943,40346981561806302,21063670,30000000,15727907
manifold,4891947,0xeca810b9a78743dcf4e6c330bdd3a82f1abe91bef345f1f418848d8e1007eb8e,0x8eb772d96a747ba63af7acdf92dc775a859f76a77e4c6ed124dca6360e74e4e798a75a925eb8fd0dde866317fff18ad0,89254040116533124,29014622,30000000,15727857
manifold,4891857,0xbb7fbaa05af990f17c48647211c082bbc7f53d752abe056dbf16ddcfe9e4d647,0xa25f5d5bd4f1956971bbd6e5a19e59c9b1422ca253587bbbb644645bd2067cc08fb854a231061f8c91f110254664e943,63565869061570928,29927095,30000000,15727769
manifold,4891812,0xfcd235c5cba8d39432238061d0268ad34754b5ef0f6196a33ef0613a471ea16c,0xa25f5d5bd4f1956971bbd6e5a19e59c9b1422ca253587bbbb644645bd2067cc08fb854a231061f8c91f110254664e943,124230118335199625,13967760,30000000,15727725
