relay,slot,block_hash,builder_pubkey,value,gas_used,gas_limit,block_number
eden,8241303,0x98d5dc2d28a7cd62caae308cbd350270c2d3fe262e00a4c5d9128a639f118244,0x91970c2db7c12510acb2e9c45844f7de602f83a7f31064f7ca04a807b607d7aebfc0abda73c036a92e5c3e56ebca04b7,39936462274707926,19308998,30000000,19045250
eden,8241053,0xee3fad26748f2677504f43065fbd8de7898efe792823d76663d64824861fd5b7,0x91970c2db7c12510acb2e9c45844f7de602f83a7f31064f7ca04a807b607d7aebfc0abda73c036a92e5c3e56ebca04b7,10402603337868963,11481837,30000000,19045001
eden,8240383,0x66e3e88bba65819562cfe858470211c5a04ecfb00209cb54ef8a325641bcae7f,0xa5eec32c40cc3737d643c24982c7f097354150aac1612d4089e2e8af44dbeefaec08a11c76bd57e7d58697ad8b2bbef5,18931091299671130,27471323,30000000,19044333
eden,8239266,0x17a14960396119c80b687a59951a29ece8ea98a1306d4c4c428462bcd4559b97,0xa412007971217a42ca2ced9a90e7ca0ddfc922a1482ee6adf812c4a307e5fb7d6e668a7c86e53663ddd53c689aa3d350,7832279374603037262,29984583,30000000,19043224
eden,8239057,0x9bf4dfe99bb160b7af34ee09acb4ddfc831dc25330216eceb4fb83f2d457956f,0x91970c2db7c12510acb2e9c45844f7de602f83a7f31064f7ca04a807b607d7aebfc0abda73c036a92e5c3e56ebca04b7,50089337120753478,12685560,30000000,19043017
eden,8238935,0xff5494eee6d70306b00292643494aafa8b23a513195183e46eb3fab72015a8c9,0x91970c2db7c12510acb2e9c45844f7de602f83a7f31064f7ca04a807b607d7aebfc0abda73c036a92e5c3e56ebca04b7,14009682988816834,8928249,30000000,19042895
eden,8238566,0x076fbe1cd370530f845966105f685723b93aa20c86eb2bd0a9f2902b000a3710,0xa412007971217a42ca2ced9a90e7ca0ddfc922a1482ee6adf812c4a307e5fb7d6e668a7c86e53663ddd53c689aa3d350,22660366169587613,8740630,29999972,19042528
eden,8238554,0x3c8c9ed5a0a32a59534faf07ac38c1ac7abad22c7362bcac6853e698e7a100d8,0xa412007971217a42ca2ced9a90e7ca0ddfc922a1482ee6adf812c4a307e5fb7d6e668a7c86e53663ddd53c689aa3d350,54112129719485418,13127777,30000000,19042516
eden,8237721,0x37a18ce1056b2108a510453c9b95af713e10dcf41a5586e3b5fde2f2f17ed713,0xa412007971217a42ca2ced9a90e7ca0ddfc922a1482ee6adf812c4a307e5fb7d6e668a7c86e53663ddd53c689aa3d350,66724647688295834,21446347,30000000,19041686
eden,8236953,0xb637dd6c2325b9189ac04514953fd04006fed403f6c9692a397b4ece3e883f4e,0xa412007971217a42ca2ced9a90e7ca0ddfc922a1482ee6adf812c4a307e5fb7d6e668a7c86e53663ddd53c689aa3d350,11369122415385508,17360239,30000000,19040921
eden,8236416,0xab445fc7280e10baf93eae10bc54b5aa1b78297fb5f61dcc640d432114fac58c,0x8e39849ceabc8710de49b2ca7053813de18b1c12d9ee22149dac4b90b634dd7e6d1e7d3c2b4df806ce32c6228eb70a8b,103898470527215641,12787575,30000000,19040384
eden,8236228,0x4af0ab95beb0409e43d56f721df97f8671559d9d91475526f04aa8154d2ad72f,0x91970c2db7c12510acb2e9c45844f7de602f83a7f31064f7ca04a807b607d7aebfc0abda73c036a92e5c3e56ebca04b7,15995399270348692,10889826,30000000,19040196
eden,8236153,0x0579c63654a98b09db4385264e0c19390f87d452b1b38062b0992459961bbce3,0x91970c2db7c12510acb2e9c45844f7de602f83a7f31064f7ca04a807b607d7aebfc0abda73c036a92e5c3e56ebca04b7,10682882675221632,15128235,30000000,19040121
eden,8235390,0x3521323167e13d8b570e915c9cd31400387e3fe71b93de662385ab1f12ccba4c,0x8c0d45833884744d8cc4bb3438c3e93bcbc1436a25da5da44cc357e93bc0a7eea1d4664c287c4c63958eedada3846ae8,54154393838516974,9807844,30000000,19039365
eden,8235212,0x45cf1ce6ed698024de315fe6e7510f187c6a95987bb9706c019c7cd61124bada,0xa412007971217a42ca2ced9a90e7ca0ddfc922a1482ee6adf812c4a307e5fb7d6e668a7c86e53663ddd53c689aa3d350,32937855403867537,11003032,30000000,19039188
eden,8234657,0xd897c3323ca73a7a28200b618bcb1197264ddbab9b2a191ca67de85f3554c915,0x91970c2db7c12510acb2e9c45844f7de602f83a7f31064f7ca04a807b607d7aebfc0abda73c036a92e5c3e56ebca04b7,12360706631082555,6415340,30000000,19038636
eden,8234650,0x1f1e514762b69eb56a431c18da42d74906455e26152d0f3b4241254a29127e28,0x91970c2db7c12510acb2e9c45844f7de602f83a7f31064f7ca04a807b607d7aebfc0abda73c036a92e5c3e56ebca04b7,29878474509896938,29314573,30000000,19038629
eden,8234167,0x44089fc84923f15567cbbbb339e917f6bfd07577d8b3f36ae959335618c2c09c,0xa412007971217a42ca2ced9a90e7ca0ddfc922a1482ee6adf812c4a307e5fb7d6e668a7c86e53663ddd53c689aa3d350,107420835370485683,22015464,30000000,19038148
eden,8233952,0xc86f1cfeba6569d4055d236b1f21a7c2dc8e51245cee446845caf64d05d6a069,0xa5eec32c40cc3737d643c24982c7f097354150aac1612d4089e2e8af44dbeefaec08a11c76bd57e7d58697ad8b2bbef5,49808804052888897,11269249,30000000,19037935
eden,8233075,0xa6fa483f11e1eff908b685510dc9e55d8727f4d28236688e0e191543d2f4555d,0x91970c2db7c12510acb2e9c45844f7de602f83a7f31064f7ca04a807b607d7aebfc0abda73c036a92e5c3e56ebca04b7,21413714178189024,11791406,30000000,19037062
eden,8232649,0xd47316c81ddae84bdd087345a6ae46f452692c7b4a96cdc5baf6c903ac93e9b7,0x8c0d45833884744d8cc4bb3438c3e93bcbc1436a25da5da44cc357e93bc0a7eea1d4664c287c4c63958eedada3846ae8,88385342128636525,26577019,30000000,19036638
eden,8232648,0x2589fb69d818ec2d5d22a1395901e5cd675820097782b7360319fc4657d8f11e,0x91970c2db7c12510acb2e9c45844f7de602f83a7f31064f7ca04a807b607d7aebfc0abda73c036a92e5c3e56ebca04b7,37737847115244270,7791485,30000000,19036637
eden,8231903,0x14f83cf1f65d97d2d9ef12bd71633a92100c90fa6a0ed48fd7f5e508d7cfe746,0x8e39849ceabc8710de49b2ca7053813de18b1c12d9ee22149dac4b90b634dd7e6d1e7d3c2b4df806ce32c6228eb70a8b,15052723580645038,27727600,30000000,19035895
eden,8230938,0x2c17951c0f4c1b19cd791446c7a288030460f2f7075e88eed57338d93115c922,0x91970c2db7c12510acb2e9c45844f7de602f83a7f31064f7ca04a807b607d7aebfc0abda73c036a92e5c3e56ebca04b7,79285701680164881,16676350,30000000,19034935
eden,8229413,0xae3f60a87148e0ded5621f22598a3a029895472af623358552990cf1f34491be,0xa412007971217a42ca2ced9a90e7ca0ddfc922a1482ee6adf812c4a307e5fb7d6e668a7c86e53663ddd53c689aa3d350,185341881044419452,13373065,30000000,19033425
eden,8229264,0x42547b7e11991725daead10e92d7cc6c1068f304a6d78bb9578c174861befbae,0xa412007971217a42ca2ced9a90e7ca0ddfc922a1482ee6adf812c4a307e5fb7d6e668a7c86e53663ddd53c689aa3d350,48360084190585758,13174476,30000000,19033277
eden,8229241,0x9cbe29bb37e8358b5c62673c511a0beda11b379e1cce4bdb9bd9a09b58f92ea4,0xa5eec32c40cc3737d643c24982c7f097354150aac1612d4089e2e8af44dbeefaec08a11c76bd57e7d58697ad8b2bbef5,62930383897721105,12480583,30000000,19033254
eden,8228536,0xa32fe417388cee450d969b7dd6feb31d53c0afc1302f12ac44458eda1bc8b7ea,0xa412007971217a42ca2ced9a90e7ca0ddfc922a1482ee6adf812c4a307e5fb7d6e668a7c86e53663ddd53c689aa3d350,22790813566345304,21764225,30000000,19032555
eden,8228260,0x8109a10a081e9b85ea28c437bfa04a0f9db37ff7220791c8877e52673a5a392d,0xa5eec32c40cc3737d643c24982c7f097354150aac1612d4089e2e8af44dbeefaec08a11c76bd57e7d58697ad8b2bbef5,53155645857979557,16272506,30000000,19032282
eden,8228196,0xd228b7024857fcf84ff900811bf92f43f3b83bc64b67098bdeb4c17fd1f3bf21,0xa412007971217a42ca2ced9a90e7ca0ddfc922a1482ee6adf812c4a307e5fb7d6e668a7c86e53663ddd53c689aa3d350,7633813136653260,5848367,30000000,19032218
eden,8228004,0x5457131d7fcaf005600c0906d867eeb944d796a69a51589c6d686c7f9a839537,0xa412007971217a42ca2ced9a90e7ca0ddfc922a1482ee6adf812c4a307e5fb7d6e668a7c86e53663ddd53c689aa3d350,36326700383145723,13968425,30000000,19032027
eden,8227467,0x176417cd7c2e215f613c9c4a7adf641ca4e6949606297d162d5f732548f81dc8,0xa5eec32c40cc3737d643c24982c7f097354150aac1612d4089e2e8af44dbeefaec08a11c76bd57e7d58697ad8b2bbef5,6961189252073033,14317174,30000000,19031491
eden,8226779,0xf053aa984aa199efee8e0e6253d168cb152d14576b546965bac2ed550198a62c,0x8c0d45833884744d8cc4bb3438c3e93bcbc1436a25da5da44cc357e93bc0a7eea1d4664c287c4c63958eedada3846ae8,31289264189289524,9255251,29999972,19030809
eden,8225373,0x358334125a3f2fc7ebb988e953accd0aba6403fd4df4a7566b12b8437982fd38,0x91970c2db7c12510acb2e9c45844f7de602f83a7f31064f7ca04a807b607d7aebfc0abda73c036a92e5c3e56ebca04b7,9558398586316114,7567881,30000000,19029408
eden,8225204,0x69ade5cdc7c023e12f32a0b83a00d62d68a805fdcef2160c11d846ef7c7a187c,0xa412007971217a42ca2ced9a90e7ca0ddfc922a1482ee6adf812c4a307e5fb7d6e668a7c86e53663ddd53c689aa3d350,44322817626877873,29989177,30000000,19029240
eden,8224320,0xa438c6b8a282d29e0929d57f934c80f8fdc24f4ccc5bc49701849904558695ab,0xa5eec32c40cc3737d643c24982c7f097354150aac1612d4089e2e8af44dbeefaec08a11c76bd57e7d58697ad8b2bbef5,15385206052067016,11742795,30000000,19028366
eden,8223417,0xbfbc36526a63065aedb77cbf6fce0502abd3a7f13ec287faabd2c6ab2ccba2ca,0xa412007971217a42ca2ced9a90e7ca0ddfc922a1482ee6adf812c4a307e5fb7d6e668a7c86e53663ddd53c689aa3d350,49177200524618715,16630959,30000000,19027477
eden,8223274,0xeeee8e3e6e9261d69244b76901e168c3a725da06ebc5baf95543628d120be0da,0x91970c2db7c12510acb2e9c45844f7de602f83a7f31064f7ca04a807b607d7aebfc0abda73c036a92e5c3e56ebca04b7,14713660592337670,11429068,30000000,19027334
eden,8222351,0xa67beb09f2b1fd770b2af136cc880150937a2285df23f22b72abbb4e80bd6b91,0x91970c2db7c12510acb2e9c45844f7de602f83a7f31064f7ca04a807b607d7aebfc0abda73c036a92e5c3e56ebca04b7,58496052798945269,20715735,30000000,19026422
eden,8220516,0x290dcb3bbce28fe051b61505dfd280d348a78ff4a94c493c00f52a36b60dc55e,0xa412007971217a42ca2ced9a90e7ca0ddfc922a1482ee6adf812c4a307e5fb7d6e668a7c86e53663ddd53c689aa3d350,23708753330442980,11202255,30000000,19024595
eden,8219127,0x6accfe932466fe06be92ba705a888b1b88802f88f9b2e23c230b50a47ed67472,0xa5eec32c40cc3737d643c24982c7f097354150aac1612d4089e2e8af44dbeefaec08a11c76bd57e7d58697ad8b2bbef5,60529278421070608,16017249,29999972,19023217
eden,8217856,0x66d29932f50f52e907e581139fd086e6a50b6daae9913842c53851966a52b8e0,0x8e39849ceabc8710de49b2ca7053813de18b1c12d9ee22149dac4b90b634dd7e6d1e7d3c2b4df806ce32c6228eb70a8b,9097476313971786,9623042,30000000,19021953
eden,8217563,0x548ea02ba4790de67ea96ab625524dd8c1c44a0a3d9e73a11ad1f92cc2b89273,0x91970c2db7c12510acb2e9c45844f7de602f83a7f31064f7ca04a807b607d7aebfc0abda73c036a92e5c3e56ebca04b7,32109417232594049,13949096,30000000,19021661
eden,8217304,0xa72028e1b35ffe011bb6b62b2b6925347ca58377bbec051a7ee2510109bc57bb,0xa5eec32c40cc3737d643c24982c7f097354150aac1612d4089e2e8af44dbeefaec08a11c76bd57e7d58697ad8b2bbef5,57184512512641524,22085018,30000000,19021403
eden,8216505,0x83d3dc1c06bea15c56b91f6377a042f0ffdf052ce9625addb20081f241f9afb3,0xa412007971217a42ca2ced9a90e7ca0ddfc922a1482ee6adf812c4a307e5fb7d6e668a7c86e53663ddd53c689aa3d350,56388665007516887,25114144,30000000,19020611
eden,8216158,0x3449ffa9c5206d1073456841f33a7be9ad86873ec47bc2ffdfdc8867745083f4,0x91970c2db7c12510acb2e9c45844f7de602f83a7f31064f7ca04a807b607d7aebfc0abda73c036a92e5c3e56ebca04b7,57415911433562504,13121105,30000000,19020266
eden,8215992,0xcb52866fc736d6f4b4f1d0f4a40f85868c9d298ec8320b3c2ea8ea250a72fb35,0x91970c2db7c12510acb2e9c45844f7de602f83a7f31064f7ca04a807b607d7aebfc0abda73c036a92e5c3e56ebca04b7,106609536435620632,29956163,30000000,19020100
eden,8215672,0x61612501d9858e9ed897caa5b5adc0463e6c8ed79dab3593221b7da15efa2e80,0xa412007971217a42ca2ced9a90e7ca0ddfc922a1482ee6adf812c4a307e5fb7d6e668a7c86e53663ddd53c689aa3d350,35196241360189158,16311966,30000000,19019780
eden,8214884,0x187ac04a796c08d2a31e01ec2688f665db209204e8d092915dae794d77fe5e62,0x91970c2db7c12510acb2e9c45844f7de602f83a7f31064f7ca04a807b607d7aebfc0abda73c036a92e5c3e56ebca04b7,67365023359482265,12053297,30000000,19018995
eden,8214660,0x7584a4d930ccc14f1f31d73507d103112d011b40c93e5b07930a9bdb2c966e27,0x8e39849ceabc8710de49b2ca7053813de18b1c12d9ee22149dac4b90b634dd7e6d1e7d3c2b4df806ce32c6228eb70a8b,20699475268902869,16472497,30000000,19018774
eden,8214648,0x3d9ddf0f4fb5490e046309ba9837ccfcb7744a9542ca60516c8737bb02a36bc8,0xa412007971217a42ca2ced9a90e7ca0ddfc922a1482ee6adf812c4a307e5fb7d6e668a7c86e53663ddd53c689aa3d350,159325520143960553,24580816,30000000,19018762
eden,8214136,0x67072ce49616519f09af957537b53192207370cc478677df2a9f051aafb8ecb2,0x91970c2db7c12510acb2e9c45844f7de602f83a7f31064f7ca04a807b607d7aebfc0abda73c036a92e5c3e56ebca04b7,8838793663929027,12369279,30000000,19018253
eden,8213572,0x6adf17842ac104961a26610574d40c1440e43b06ea73c7ba01a93d5e1f546755,0x91970c2db7c12510acb2e9c45844f7de602f83a7f31064f7ca04a807b607d7aebfc0abda73c036a92e5c3e56ebca04b7,16702182610991778,8584946,30000000,19017691
eden,8213203,0x716de77db3d808db1c8ac59417fa20d36c16a4e6c2f00acc555d1f7a5df5364f,0x91970c2db7c12510acb2e9c45844f7de602f83a7f31064f7ca04a807b607d7aebfc0abda73c036a92e5c3e56ebca04b7,46756021112201922,17851386,30000000,19017322
eden,8211960,0x6773dbbe022663380492af2f42afd8630e65f8fa3bb9c6efc687a36d5db01150,0x8e39849ceabc8710de49b2ca7053813de18b1c12d9ee22149dac4b90b634dd7e6d1e7d3c2b4df806ce32c6228eb70a8b,28553140987000174,23840397,30000000,19016083
